ID,Country,Latitude,Longitude,Page,Battle,Year,Participants,War,Winner,Loser,Participant 1,Participant 2,Lehmann Zhukov Scale,Theatre,Polygon,Massacre,Alternative Sources Consulted,Infered Scale,Minor,year_x,country_gaining,iso3c_gaining,country_losing,iso3c_losing,type,pop,area,conflict_id,dyad_id,location_inc,side_a,side_a_id,side_a_2nd,side_b,side_b_id,side_b_2nd,incompatibility,territory_name,year_y,bd_best,bd_low,bd_high,type_of_conflict,battle_location,gwno_a,gwno_a_2nd,gwno_b,gwno_b_2nd,gwno_loc,gwno_battle,region,version
Jajce1464,BOSNIA AND HERZEGOVINA,44.3398061,17.2712934,483,JAJCE,1464,"['Turkish', 'Bosnia', 'Ottoman']",TURKISH-HUNGARIAN WARS,HUNGARY,OTTOMAN EMPIRE,,,3,LAND,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jajce1992,BOSNIA AND HERZEGOVINA,44.3398061,17.2712934,"SHOWALTER, P915",JAJCE,1992,,BOSNIAN WAR,REPUBLIKA SRPSKA,"BOSNIA-HERCEGOVINA, CROATIAN REPUBLIC OF HERZEG-BOSNIA",,,2,LAND,,NO,"ENCYCLOPEDIA OF WARFARE, SHOWALTER, 2015, P915",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jakarta1619,INDONESIA,-6.17511,106.8650395,484,JAKARTA,1619,"['Dutch', 'Dutch', 'Dutch', 'Jakarta', 'Jakarta', 'Dutch', 'Batavia']",EARLY DUTCH WARS IN THE EAST INDIES,NETHERLANDS,PRINCEDOM OF JAKARTA,,,1,LAND,,BATTLE FOLLOWED BY MASSACRE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jalalabad1710,AFGHANISTAN,34.4198488,70.4729434,484,JALALABAD,1710,"['Sikh', 'Jalalabad', 'Sarahanpur', 'Mughal', 'Pathan', 'Jalalabad', 'Afghans', 'Akbar Khans', 'Afghans']",MUGHAL-SIKH WARS,MUGHAL EMPIRE,PUNJAB,,,,LAND,,BATTLE FOLLOWED BY MASSACRE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jalalabad1841-1842,AFGHANISTAN,34.4198488,70.4729434,484,JALALABAD,1841-1842,"['Sikh', 'Jalalabad', 'Sarahanpur', 'Mughal', 'Pathan', 'Jalalabad', 'Afghans', 'Akbar Khans', 'Afghans']",1ST BRITISH-AFGHAN WAR,UNITED KINGDOM,AFGHANISTAN,,,2,LAND,,NO,"ENCYCLOPEDIA OF WARFARE, SHOWALTER, 2014, P637; CLODFELTER, WARFARE AND ARMED CONFLICT, P220",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jalalabad1989,AFGHANISTAN,34.4198488,70.4729434,484,JALALABAD,1989,"['Sikh', 'Jalalabad', 'Sarahanpur', 'Mughal', 'Pathan', 'Jalalabad', 'Afghans', 'Akbar Khans', 'Afghans']",AFGHAN CIVIL WAR,"USSR, AFGHANISTAN",MUJAHIDEEN,,,,LAND,,NO,,,,,,,,,,,,333,"727, 729, 724, 726, 732",AFGHANISTAN,GOVERNMENT OF AFGHANISTAN,130,GOVERNMENT OF RUSSIA (SOVIET UNION),"HIZB-I ISLAMI-YI AFGHANISTAN - KHALIS FACTION, MAHAZ-I MILLI-YI ISLAMI-YI AFGHANISTAN, HIZB-I ISLAMI-YI AFGHANISTAN, HIZB-I WAHDAT, JAM'IYYAT-I ISLAMI-YI AFGHANISTAN","294, 299, 300, 292, 296",,2,,1989,5174,1904,17051,4,AFGHANISTAN,700,365,,,700,700,3,24.1
Jalandhar1298,INDIA,31.3260152,75.5761829,484,JALANDHAR,1298,"['India', 'Mongols', 'Kadar', 'India', 'Lahore', 'Jalandhar', 'Mongols']",MONGOL INVASIONS OF INDIA,DELHI SULTANATE,MONGOLS,,,3,LAND,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jalula637,IRAQ,34.2737043,45.1658261,484,JALULA,637,"['Muslim', 'Iraq', 'Persian', 'Baghdad', 'Muslim', 'Hashim', 'Utbah', 'Persia', 'Iraq']",MUSLIM CONQUEST OF IRAQ,MUSLIM CALIPHATE,PERSIA,,,2,LAND,,NO,"ENCYCLOPEDIA OF WARFARE, SHOWALTER, 2014, P181",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jamaica1655,JAMAICA,18.4112201,-77.02034,484,JAMAICA,1655,"['Anglo', 'English', 'Santo', 'Jamaica', 'British']",ANGLO-SPANISH WAR,ENGLAND,SPAIN,,,2,LAND AND SEA,,NO,"CLODFELTER, WARFARE AND ARMED CONFLICT, P44",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jamestown Ford1781,UNITED STATES,37.2116383,-76.7752102,485,JAMESTOWN FORD,1781,"['Virginia', 'British', 'New York']",WAR OF THE AMERICAN REVOLUTION,UNITED KINGDOM,"UNITED STATES, FRANCE",,,1,LAND,,NO,"CLODFELTER, WARFARE AND ARMED CONFLICT, P130",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jamestown1622,UNITED STATES,37.2116383,-76.777398,485,JAMESTOWN,1622,"['Powhatan', 'Virginia', 'Indian', 'Jamestown']",POWHATAN INDIAN WARS,MASSACRE,,POWHATAN INDIANS,ENGLAND,1,LAND,,YES,"ENCYCLOPEDIA OF WARFARE, SHOWALTER, 2014, P364",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jamestown1676,UNITED STATES,37.2116383,-76.7752102,485,JAMESTOWN,1676,"['Bacons', 'Virginia', 'Indians', 'Virginian', 'Berkeley']",BACON'S REBELLION,VIRGINIAN REBELS,VIRGINIA,,,1,LAND,,NO,"CLODFELTER, WARFARE AND ARMED CONFLICT, P66",,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jamkhed1560,INDIA,18.7380109,75.312064,485,JAMKHED,1560,"['Deccan', 'Bijapur', 'Bijapur', 'Jamkhed']",WARS OF THE DECCAN SULTANATES,"BIJAPUR, GOLCONDA, VIJAYANAGAR",AHMADNAGAR,,,,LAND,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jammu1712,INDIA,32.7266016,74.8570259,485,JAMMU,1712,"['Jammu', 'Sikh', 'Jammu', 'Lahore']",MUGHAL-SIKH WARS,MUGHAL EMPIRE,PUNJAB,,,,LAND,,BATTLE FOLLOWED BY MASSACRE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jamrud1738,PAKISTAN,34.0015056,71.3854062,485,JAMRUD,1738,"['Persian', 'India', 'Persian', 'Afghanistan', 'India', 'Mughal', 'Kabul', 'Indians', 'Persians', 'Lahore', 'Delhi']",PERSIAN INVASION OF INDIA,PERSIA,MUGHAL EMPIRE,,,3,LAND,,NO,"WARFARE IN PRE-BRITISH INDIA, KAUSHIK ROY, 2015, P226",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jamrud1837,PAKISTAN,34.0015053,71.3766514,485,JAMRUD,1837,"['Afghan', 'Peshawar', 'Peshawar', 'Kabul', 'Sikh']",AFGHAN-SIKH WARS,PUNJAB,AFGHANISTAN,,,3,LAND,,NO,"ENCYCLOPEDIA OF WARFARE, SHOWALTER, 2014, P485",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jand1218,PAKISTAN,33.3958462,71.9994067,485,JAND,1218,"['the Khwarezmian Empire', 'Kazakhstan']",CONQUESTS OF GENGHIS KHAN,MONGOLS,KHWAREZM,,,4,LAND,,NO,"HARBOTTLE'S DICTIONARY OF BATTLES, GEORGE BRUCE, 1979, P128",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jankau1645,CZECHIA,49.6529389,14.7307468,486,JANKAU,1645,"['Swedish', 'Prague', 'Bavarian-Austrian', 'Hatzfeld', 'Swedish', 'Hatzfeld', 'Bavarian', 'Vienna', 'Turkish Macedonia', 'Greek', 'Jannina']",THIRTY YEARS WAR,SWEDEN,"HABSBURG EMPIRE, BAVARIA",,,2,LAND,,NO,"THE FIELD AND THE FORGE: POPULATION, PRODUCTION AND POWER IN THE PRE INDUSTRIAL WEST, JOHN LANDES, OXFORD 2003, P 386",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jannina1912,GREECE,39.7706318,20.8076084,486,JANNINA,1912,[],1ST BALKAN WAR,GREECE,OTTOMAN EMPIRE,,,3,LAND,,NO,"ENCYCLOPEDIA OF WARFARE, SHOWALTER, 2014, P747-748",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jannitsa1912-1913,GREECE,40.7943587,22.4144481,486,JANNITSA,1912-1913,"['Turkish', 'Thessalonica', 'Turks', 'Thessalonica']",1ST BALKAN WAR,GREECE,OTTOMAN EMPIRE,,,3,LAND,,NO,"ENCYCLOPEDIA OF WARFARE, SHOWALTER, 2014, P747-748.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Janos Massacre1851,MEXICO,30.8898311,-108.208458,486,JANOS MASSACRE,1851,"['Indian', 'Mexican', 'Mexico', 'Janos', 'Indians', 'Arizpe']",APACHE INDIAN WARS,MASSACRE,,MEXICO,APACHE INDIANS,1,LAND,,YES,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Janowiec1606,POLAND,51.3235143,21.890312,486,JANOWIEC,1606,['Poland'],ZEBRZYDOWSKI'S REBELLION,POLAND,POLISH REBEL LORDS,,,,LAND,,NO,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jaomodo1696,MONGOLIA,47.7039271,106.8898865,486,JAOMODO,1696,"['Chinese', 'Chinese']",CHINESE-MONGOL WARS,QING CHINA,ZUNGHAR MONGOLS,,,2,LAND,,NO,"ENCYCLOPEDIA OF WARFARE, SHOWALTER, 2014, P414; CLODFELTER, WARFARE AND ARMED CONFLICT, P64",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jarama1937,SPAIN,40.5751927,-4.0207825,486,JARAMA,1937,"['Spanish', 'Madrid', 'Republicans', 'Guadalajara']",SPANISH CIVIL WAR,SPANISH REPUBLICANS,SPANISH NATIONALISTS,,,3,LAND,,NO,"ENCYCLOPEDIA OF WARFARE, SHOWALTER, 2014, P799",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jarbuiyah1920,IRAQ,32.5486614,44.3040368,486,JARBUIYAH,1920,"['Iraqi', 'Rustumiyah', 'British', 'Diwaniyah', 'Hillah', 'Baghdad', 'Arab']",IRAQI REVOLT,UNITED KINGDOM,IRAQI REBELS,,,,LAND,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jargeau1429,FRANCE,47.866604,2.122264,487,JARGEAU,1429,"['Suffolk', 'Suffolk', 'French', 'Alencon']",HUNDRED YEARS WAR,FRANCE,ENGLAND,,,1,LAND,,NO,"ENCYCLOPEDIA OF WARFARE, SHOWALTER, 2014, P282",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jarnac1569,FRANCE,45.681389,-0.1739169,487,JARNAC,1569,"['Catholic', 'Charente']",3RD FRENCH WAR OF RELIGION,FRENCH CATHOLICS,HUGENOTS,,,2,LAND,,NO,"CLODFELTER, WARFARE AND ARMED CONFLICT, P16",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jasini1915,TANZANIA,-4.669553,39.1912713,487,JASINI,1915,"['British', 'German', 'East Africa', 'Anglo', 'German', 'German']",WORLD WAR I,GERMANY,UNITED KINGDOM,,,,LAND,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jask1620,PERSIAN GULF,25.5987948,57.7379583,487,JASK,1620,"['Anglo', 'British', 'Portuguese', 'Jask', 'Hormuz', 'Portuguese', 'British']",ANGLO-PORTUGUESE COLONIAL WARS,ENGLAND,PORTUGAL,,,,SEA,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
