ID,Country,Latitude,Longitude,Page,Battle,Year,Participants,War,Winner,Loser,Theatre,Massacre,all_participants,nuclear_countries_involved,active_nuclear_countries_during_conflict
1stDragasani1821,GREECE,44.6631799,24.2608711,"CLODFELTER, P191",DRAGASANI,1821.0,,GREEK WAR OF INDEPENDENCE,GREEK REBELS,OTTOMAN EMPIRE,LAND,NO,"['', 'GREEK REBELS', 'OTTOMAN EMPIRE']",None,None
1stGiurgevo1811,ROMANIA,43.8977007,25.9274978,"CLODFELTER, P190",GIURGEVO,1811.0,,RUSSO-TURKISH WARS,OTTOMAN EMPIRE,RUSSIA,LAND,NO,"['', 'OTTOMAN EMPIRE', 'RUSSIA']",russia,None
2ndBreslau1757,POLAND,51.1078852,17.0385376,"CLODFELTER, P80",BRESLAU,1757.0,,SEVEN YEARS WAR,PRUSSIA,HABSBURG EMPIRE,LAND,NO,"['', 'PRUSSIA', 'HABSBURG EMPIRE']",None,None
2ndGiurgevo1811,ROMANIA,43.8977007,25.9274978,,GIURGEVO,1811.0,,RUSSO-TURKISH WARS,RUSSIA,OTTOMAN EMPIRE,LAND,NO,"['', 'RUSSIA', 'OTTOMAN EMPIRE']",russia,None
2ndSchweidnitz1757,POLAND,50.8498434,16.475679,"CLODFELTER, P80",SCHWEIDNITZ,1757.0,,SEVEN YEARS' WAR,PRUSSIA,HABSBURG EMPIRE,LAND,NO,"['', 'PRUSSIA', 'HABSBURG EMPIRE']",None,None
A Shau1966,VIETNAM,16.1245222,107.3314423,75,A SHAU,1966.0,"['Vietnamese', 'Laotian', 'Hue', 'South Vietnamese', 'American', 'Communist']","['VIETNAM WAR', 'THE A SHAU VALLEY']","SOUTH VIETNAM, UNITED STATES",VIET CONG,LAND,NO,"[""['Vietnamese'"", ""'Laotian'"", ""'Hue'"", ""'South Vietnamese'"", ""'American'"", ""'Communist']"", 'SOUTH VIETNAM', 'UNITED STATES', 'VIET CONG']",united states,united states
Aa River1917,LATVIA,56.8206989,23.5755013,1,AA RIVER,1917.0,"['German', 'Russian', 'Riga', 'Germans']",['WORLD WAR I'],GERMANY,RUSSIA,LAND,NO,"[""['German'"", ""'Russian'"", ""'Riga'"", ""'Germans']"", 'GERMANY', 'RUSSIA']",russia,None
Aachen1944,GERMANY,50.7753455,6.0838868,1,AACHEN,1944.0,"['American', 'German', 'Hurtgen']",['WORLD WAR II'],UNITED STATES,GERMANY,LAND,NO,"[""['American'"", ""'German'"", ""'Hurtgen']"", 'UNITED STATES', 'GERMANY']",united states,None
Aardenburg1672,NETHERLANDS,51.2742727,3.4453328,1,AARDENBURG,1672.0,"['Spanish', 'Netherlands', 'French', 'Dutch', 'Zeeland', 'Aardenburg', 'Zeeland']",3RD DUTCH WAR,NETHERLANDS,FRANCE,LAND,NO,"[""['Spanish'"", ""'Netherlands'"", ""'French'"", ""'Dutch'"", ""'Zeeland'"", ""'Aardenburg'"", ""'Zeeland']"", 'NETHERLANDS', 'FRANCE']",france,None
Aasle1389,SWEDEN,58.1775353,13.6869345,1,AASLE,1389.0,"['Denmark', 'Sweden', 'Aasle', 'Falkoping', 'Sweden', 'Denmark', 'Norway', 'Sweden']",WARS OF SCANDINAVIAN UNION,DENMARK,SWEDEN,LAND,NO,"[""['Denmark'"", ""'Sweden'"", ""'Aasle'"", ""'Falkoping'"", ""'Sweden'"", ""'Denmark'"", ""'Norway'"", ""'Sweden']"", 'DENMARK', 'SWEDEN']",None,None
Abadan1980,IRAN,30.347296,48.2934004,1,ABADAN,1980.0,"['Khorramshahr', 'Iraqi', 'Arab', 'Iran', 'Iran', 'Iraqis', 'Iran']",['IRAQ-IRAN WAR'],DRAW,,LAND,NO,"[""['Khorramshahr'"", ""'Iraqi'"", ""'Arab'"", ""'Iran'"", ""'Iran'"", ""'Iraqis'"", ""'Iran']"", 'DRAW', '']",None,None
Abadan1981,IRAN,30.347296,48.2934004,1,ABADAN,1981.0,"['Susangerd', 'Irans', 'Iran', 'Iraqis']",['IRAQ-IRAN WAR'],IRAN,IRAQ,LAND,NO,"[""['Susangerd'"", ""'Irans'"", ""'Iran'"", ""'Iraqis']"", 'IRAN', 'IRAQ']",None,None
Abagana1968,NIGERIA,6.1864553,6.9799755,2,ABAGANA,1968.0,['Abagana'],['BIAFRAN WAR'],BIAFRAN REBELS,NIGERIA,LAND,NO,"[""['Abagana']"", 'BIAFRAN REBELS', 'NIGERIA']",None,None
Abakrampa1873,GHANA,5.245212,-1.230904,2,ABAKRAMPA,1873.0,"['British', 'Ghana', 'Essaman']",2ND BRITISH ASHANTI WAR,UNITED KINGDOM,ASHANTI,LAND,NO,"[""['British'"", ""'Ghana'"", ""'Essaman']"", 'UNITED KINGDOM', 'ASHANTI']",united kingdom,None
Abancay1537,PERU,-13.6391954,-72.8929,2,ABANCAY,1537.0,"['Spanish', 'Peru', 'Spanish', 'Peru', 'Peru', 'Alonzo', 'Almagro', 'Pizarrist']",['CIVIL WAR'],ALMAGRO FACTION IN SPANISH CIVIL WAR,PIZZARISTS,LAND,NO,"[""['Spanish'"", ""'Peru'"", ""'Spanish'"", ""'Peru'"", ""'Peru'"", ""'Alonzo'"", ""'Almagro'"", ""'Pizarrist']"", 'ALMAGRO FACTION IN SPANISH CIVIL WAR', 'PIZZARISTS']",None,None
Abbasabad1827,IRAN,36.7240776,51.1141183,2,ABBASABAD,1827.0,"['Russo', 'Russian', 'Persian', 'Persian']",RUSSO-PERSIAN WARS,RUSSIA,PERSIA,LAND,NO,"[""['Russo'"", ""'Russian'"", ""'Persian'"", ""'Persian']"", 'RUSSIA', 'PERSIA']",russia,None
Abeche1983,CHAD,13.8359124,20.8433709,2,ABECHE,1983.0,"['Libyan', 'Chad']",CHAD CIVIL WARS,CHAD,CHADIAN REBELS,LAND,NO,"[""['Libyan'"", ""'Chad']"", 'CHAD', 'CHADIAN REBELS']",None,None
Abensberg1809,GERMANY,48.8177181,11.8507867,2,ABENSBERG,1809.0,"['Napoleonic', 'French', 'Spain', 'Bavaria', 'Austrians']",NAPOLEONIC WARS (5TH COALITION),FRANCE,AUSTRIA,LAND,NO,"[""['Napoleonic'"", ""'French'"", ""'Spain'"", ""'Bavaria'"", ""'Austrians']"", 'FRANCE', 'AUSTRIA']",france,None
Aber Edw1282,UNITED KINGDOM,52.1168663,-3.3541708,3,ABER EDW,1282.0,"['English', 'Wales', 'Radnor']",ANGLO-WELSH WARS,ENGLAND,WALES,LAND,NO,"[""['English'"", ""'Wales'"", ""'Radnor']"", 'ENGLAND', 'WALES']",united kingdom,None
Abercorn1455,UNITED KINGDOM,55.994843,-3.4746957,2,ABERCORN,1455.0,"['Douglas', 'Scotland', 'Queensferry', 'England']",DOUGLAS REBELLION,SCOTLAND,EARL OF DOUGLAS,LAND,NO,"[""['Douglas'"", ""'Scotland'"", ""'Queensferry'"", ""'England']"", 'SCOTLAND', 'EARL OF DOUGLAS']",None,None
"Aberdare, Kenya1955",KENYA,-0.4145514,36.6661998,2,"ABERDARE, KENYA",1955.0,"['Kenya', 'Kenya']",MAU MAU REBELLION,DRAW,,LAND,NO,"[""['Kenya'"", ""'Kenya']"", 'DRAW', '']",None,None
"Aberdare, Kenya1955(2nd)",KENYA,-0.4145514,36.6661998,3,"ABERDARE, KENYA",1955.0,"['Kenya', 'Kenya', 'British', 'British', 'Kenya']",MAU MAU WAR,MAU MAU,UNITED KINGDOM,LAND,NO,"[""['Kenya'"", ""'Kenya'"", ""'British'"", ""'British'"", ""'Kenya']"", 'MAU MAU', 'UNITED KINGDOM']",united kingdom,united kingdom
"Aberdare, Wales1093",UNITED KINGDOM,51.716154,-3.451816,3,"ABERDARE, WALES",1093.0,"['Wales', 'Glamorgan']",ANGLO-WELSH WARS,ENGLAND,WALES,LAND,NO,"[""['Wales'"", ""'Glamorgan']"", 'ENGLAND', 'WALES']",united kingdom,None
Aberdeen1644,UNITED KINGDOM,57.149717,-2.094278,3,ABERDEEN,1644.0,"['British', 'Scottish', 'Aberdeen', 'Inverlochy']",BRITISH CIVIL WARS,ROYALISTS,COVENANTERS,LAND,BATTLE FOLLOWED BY MASSACRE,"[""['British'"", ""'Scottish'"", ""'Aberdeen'"", ""'Inverlochy']"", 'ROYALISTS', 'COVENANTERS']",None,None
Aboasa1900,GHANA,6.8076157,-1.5454459,"CLODFELTER, P351",ABOASA,1900.0,,ASHANTI RISING,UNITED KINGDOM,ASHANTI REBELS,LAND,NO,"['', 'UNITED KINGDOM', 'ASHANTI REBELS']",united kingdom,None
Abomey1892,BENIN,7.1854773,1.9979411,3,ABOMEY,1892.0,['French'],['DAHOMEAN WAR'],FRANCE,DAHOMEY,LAND,NO,"[""['French']"", 'FRANCE', 'DAHOMEY']",france,None
Aboukir1799,EGYPT,31.3114241,30.0603342,3,ABOUKIR,1799.0,"['French', 'British', 'Turkish', 'Egypt', 'French', 'Turkish']",FRENCH REVOLUTIONARY WARS,FRANCE,OTTOMAN EMPIRE,LAND,NO,"[""['French'"", ""'British'"", ""'Turkish'"", ""'Egypt'"", ""'French'"", ""'Turkish']"", 'FRANCE', 'OTTOMAN EMPIRE']",france,None
Aboukir1801,EGYPT,31.3114241,30.0603342,3,ABOUKIR,1801.0,"['French', 'British', 'Aboukir', 'French', 'Alexandria']",FRENCH REVOLUTIONARY WARS,"UNITED KINGDOM, OTTOMAN EMPIRE",FRANCE,LAND,NO,"[""['French'"", ""'British'"", ""'Aboukir'"", ""'French'"", ""'Alexandria']"", 'UNITED KINGDOM', 'OTTOMAN EMPIRE', 'FRANCE']","france, united kingdom",None
Abrittus251,BULGARIA,43.5237175,26.5404685,3,ABRITTUS,251.0,['Philippopolis'],['GOTHIC WAR'],"GOTHS, SCYTHIANS",ROME,LAND,NO,"[""['Philippopolis']"", 'GOTHS', 'SCYTHIANS', 'ROME']",None,None
Abu Ageila1956,EGYPT,30.83783,34.1133,4,ABU AGEILA,1956.0,"['Arab', 'Israels', 'Egypt', 'Sinai', 'Egyptians', 'Israels']",['SINAI WAR'],ISRAEL,EGYPT,LAND,NO,"[""['Arab'"", ""'Israels'"", ""'Egypt'"", ""'Sinai'"", ""'Egyptians'"", ""'Israels']"", 'ISRAEL', 'EGYPT']",None,None
Abu Ageila1956,EGYPT,30.83783,34.1133,4,ABU AGEILA,1956.0,"['Arab', 'Israels', 'Egypt', 'Sinai', 'Egyptians', 'Israels']",['SINAI WAR'],ISRAEL,EGYPT,LAND,NO,"[""['Arab'"", ""'Israels'"", ""'Egypt'"", ""'Sinai'"", ""'Egyptians'"", ""'Israels']"", 'ISRAEL', 'EGYPT']",None,None
Abu Ageila1967,EGYPT,30.83783,34.1133,4,ABU AGEILA,1967.0,"['Arab', 'Israels', 'Egyptian', 'Egyptians']",SIX DAY WAR,ISRAEL,EGYPT,LAND,NO,"[""['Arab'"", ""'Israels'"", ""'Egyptian'"", ""'Egyptians']"", 'ISRAEL', 'EGYPT']",None,None
Abu Hamed1897,SUDAN,19.5253379,33.2798188,4,ABU HAMED,1897.0,"['British', 'British', 'Sudan', 'British', 'Sudanese']",BRITISH-SUDAN WARS,UNITED KINGDOM,SUDANESE MAHDISTS,LAND,NO,"[""['British'"", ""'British'"", ""'Sudan'"", ""'British'"", ""'Sudanese']"", 'UNITED KINGDOM', 'SUDANESE MAHDISTS']",united kingdom,None
Abu Klea1885,SUDAN,16.9833533,33.2912452,4,ABU KLEA,1885.0,"['British', 'British']",BRITISH-SUDAN WARS,UNITED KINGDOM,SUDANESE MAHDISTS,LAND,NO,"[""['British'"", ""'British']"", 'UNITED KINGDOM', 'SUDANESE MAHDISTS']",united kingdom,None
Abu Kru1885,SUDAN,16.6399301,33.0806383,4,ABU KRU,1885.0,"['British', 'Dongola', 'British', 'Mahdists', 'British', 'Cairo']",BRITISH-SUDAN WARS,UNITED KINGDOM,SUDANESE MAHDISTS,LAND,NO,"[""['British'"", ""'Dongola'"", ""'British'"", ""'Mahdists'"", ""'British'"", ""'Cairo']"", 'UNITED KINGDOM', 'SUDANESE MAHDISTS']",united kingdom,None
Abu Tellul1918,ISRAEL,31.9231824,35.3566345,4,ABU TELLUL,1918.0,"['Jericho', 'Turkish', 'German', 'Australian', 'Germans']",['WORLD WAR'],AUSTRALIA,"GERMANY, OTTOMAN EMPIRE",LAND,NO,"[""['Jericho'"", ""'Turkish'"", ""'German'"", ""'Australian'"", ""'Germans']"", 'AUSTRALIA', 'GERMANY', 'OTTOMAN EMPIRE']",None,None
Abydos-200,EGYPT,26.1837366,31.9227288,4,ABYDOS,-200.0,"['Macedon', 'Abydos', 'Asian', 'Rhodian']",['MACEDONIAN WAR'],MACEDONIA,"ABYDOS, PERGAMUM, RHODES",LAND,NO,"[""['Macedon'"", ""'Abydos'"", ""'Asian'"", ""'Rhodian']"", 'MACEDONIA', 'ABYDOS', 'PERGAMUM', 'RHODES']",None,None
Abydos989,EGYPT,26.1837366,31.9227288,4,ABYDOS,989.0,['Byzantine'],BYZANTINE MILITARY REBELLIONS,EMPEROR BASIL II,BARDAS PHOCAS,LAND,NO,"[""['Byzantine']"", 'EMPEROR BASIL II', 'BARDAS PHOCAS']",None,None
Acajete1839,MEXICO,19.1061301,-97.9522432,5,ACAJETE,1839.0,"['Mexican', 'Mexican', 'Jalapa', 'Tampico']",MEXICAN FEDERALIST WARS,MEXICO,MEXICAN REBELS,LAND,NO,"[""['Mexican'"", ""'Mexican'"", ""'Jalapa'"", ""'Tampico']"", 'MEXICO', 'MEXICAN REBELS']",None,None
Acambaro1858,MEXICO,20.025105,-100.718241,5,ACAMBARO,1858.0,"['Mexico', 'Conservative', 'Acambaro']",['MEXICAN WAR'],DRAW,,LAND,NO,"[""['Mexico'"", ""'Conservative'"", ""'Acambaro']"", 'DRAW', '']",None,None
Acapulco1855,MEXICO,16.8531086,-99.8236533,5,ACAPULCO,1855.0,"['Mexican', 'Acapulco', 'Mexico', 'Santa Anna', 'Mexican']",MEXICAN LIBERAL REBELLION,MEXICAN LIBERALS,MEXICAN CONSERVATIVES,LAND,NO,"[""['Mexican'"", ""'Acapulco'"", ""'Mexico'"", ""'Santa Anna'"", ""'Mexican']"", 'MEXICAN LIBERALS', 'MEXICAN CONSERVATIVES']",None,None
Accra1824,GHANA,5.554828,-0.200086,"HARBOTTLES, P10",ACCRA,1824.0,,FIRST BRITISH-ASHANTI WAR,ASHANTI KINGDOM,UNITED KINGDOM,LAND,NO,"['', 'ASHANTI KINGDOM', 'UNITED KINGDOM']",united kingdom,None
Accra1825,GHANA,5.554828,-0.200086,"HARBOTTLES, P10",ACCRA,1825.0,,FIRST BRITISH-ASHANTI WAR,UNITED KINGDOM,ASHANTI KINGDOM,LAND,NO,"['', 'UNITED KINGDOM', 'ASHANTI KINGDOM']",united kingdom,None
Acerrae-90,ITALY,40.9441091,14.371438,5,ACERRAE,-90.0,['Rome'],ROMAN SOCIAL WAR,ROME,SAMNITES,LAND,NO,"[""['Rome']"", 'ROME', 'SAMNITES']",None,None
Acheribe1893,BENIN,9.30769,2.315834,5,ACHERIBE,1893.0,"['Abomey', 'France', 'Behanzins']",3RD FRANCO-DAHOMEAN WAR,FRANCE,DAHOMEY,LAND,NO,"[""['Abomey'"", ""'France'"", ""'Behanzins']"", 'FRANCE', 'DAHOMEY']",france,None
Ackia1736,UNITED STATES,34.2721578,-88.7379271,5,ACKIA,1736.0,"['Louisiana', 'Chickasaw', 'French', 'Mississippi', 'French', 'Indian', 'New Orleans']",CHICKASAW-FRENCH WAR,CHICKASAWS,FRANCE,LAND,NO,"[""['Louisiana'"", ""'Chickasaw'"", ""'French'"", ""'Mississippi'"", ""'French'"", ""'Indian'"", ""'New Orleans']"", 'CHICKASAWS', 'FRANCE']",france,None
Aclea851,UNITED KINGDOM,51.4268318,0.3545853,5,ACLEA,851.0,"['Britain', 'London', 'Thames']",VIKING RAIDS ON BRITAIN,WESSEX,DANISH VIKINGS,LAND,NO,"[""['Britain'"", ""'London'"", ""'Thames']"", 'WESSEX', 'DANISH VIKINGS']",None,None
Acomo Pueblo1598,UNITED STATES,34.8963361,-107.5910634,6,ACOMO PUEBLO,1598.0,[],SPANISH CONQUEST OF NEW MEXICO,SPAIN,PUEBLO INDIANS,LAND,BATTLE FOLLOWED BY MASSACRE,"['[]', 'SPAIN', 'PUEBLO INDIANS']",None,None
Acosta-Nu1869,PARAGUAY,-25.419142,-57.5445587,6,ACOSTA-NU,1869.0,"['Piribebuy', 'Brazilian']",WAR OF THE TRIPLE              ALLIANCE,BRAZIL,PARAGUAY,LAND,NO,"[""['Piribebuy'"", ""'Brazilian']"", 'BRAZIL', 'PARAGUAY']",None,None
Acqui1799,ITALY,44.6763846,8.4670285,6,ACQUI,1799.0,"['French', 'French', 'Italy', 'Russian', 'French', 'Austrian', 'Russian', 'French']",FRENCH REVOLUTIONARY WARS (2ND COALITION),"AUSTRIA, RUSSIA",FRANCE,LAND,NO,"[""['French'"", ""'French'"", ""'Italy'"", ""'Russian'"", ""'French'"", ""'Austrian'"", ""'Russian'"", ""'French']"", 'AUSTRIA', 'RUSSIA', 'FRANCE']","france, russia",None
Acragas-262,ITALY,37.3094075,13.5859823,6,ACRAGAS,-262.0,"['Rome', 'Acragas', 'Sicily', 'Carthaginian', 'Rome', 'Romans']",['PUNIC WAR'],ROME,CARTHAGE,LAND,NO,"[""['Rome'"", ""'Acragas'"", ""'Sicily'"", ""'Carthaginian'"", ""'Rome'"", ""'Romans']"", 'ROME', 'CARTHAGE']",None,None
Acragas-406,ITALY,37.3094075,13.5859823,6,ACRAGAS,-406.0,"['Carthaginian', 'Greek', 'Acragas', 'Spartans']",CARTHAGINIAN-SYRACUSAN WARS,CARTHAGE,SYRACUSE,LAND,NO,"[""['Carthaginian'"", ""'Greek'"", ""'Acragas'"", ""'Spartans']"", 'CARTHAGE', 'SYRACUSE']",None,None
Acre1104,ISRAEL,32.933052,35.082678,6,ACRE,1104.0,"['Crusader-Muslim', 'Jerusalem', 'Genoese', 'Genoese', 'Bena Zahr']",CRUSADER-MUSLIM WARS,"GENOA, KINGDOM OF JERUSALEM",FATIMID CALIPHATE,LAND,NO,"[""['Crusader-Muslim'"", ""'Jerusalem'"", ""'Genoese'"", ""'Genoese'"", ""'Bena Zahr']"", 'GENOA', 'KINGDOM OF JERUSALEM', 'FATIMID CALIPHATE']",None,None
Acre1189-1191,ISRAEL,32.933052,35.082678,6,ACRE,1189.0,"['Haifa', 'Kurdish-Muslim', 'England', 'Muslim']",THIRD CRUSADE,ENGLAND,AYYUBID CALIPHATE,LAND,BATTLE FOLLOWED BY MASSACRE,"[""['Haifa'"", ""'Kurdish-Muslim'"", ""'England'"", ""'Muslim']"", 'ENGLAND', 'AYYUBID CALIPHATE']",united kingdom,None
Acre1291,ISRAEL,32.933052,35.082678,6,ACRE,1291.0,"['Muslim', 'Christian']",LATER CRUSADER-MUSLIM WARS,MAMLUKES,"KINGDOM OF JERUSALEM, KNIGHTS HOSPITALLIER, KNIGHTS TEMPLAR, TEUTONIC KNIGHTS",LAND,NO,"[""['Muslim'"", ""'Christian']"", 'MAMLUKES', 'KINGDOM OF JERUSALEM', 'KNIGHTS HOSPITALLIER', 'KNIGHTS TEMPLAR', 'TEUTONIC KNIGHTS']",None,None
Acre1799,ISRAEL,32.933052,35.082678,7,ACRE,1799.0,"['French', 'Egypt', 'Egypt', 'Syria', 'Haifa', 'British', 'Egypt']",FRENCH REVOLUTIONARY WARS,"PASHA OF ACRE, UNITED KINGDOM",FRANCE,LAND,NO,"[""['French'"", ""'Egypt'"", ""'Egypt'"", ""'Syria'"", ""'Haifa'"", ""'British'"", ""'Egypt']"", 'PASHA OF ACRE', 'UNITED KINGDOM', 'FRANCE']","france, united kingdom",None
Acre1831,ISRAEL,32.933052,35.082678,7,ACRE,1831.0,"['Egyptian', 'War                                          ', 'Egyptian', 'Turkish', 'Syria', 'Gaza', 'Jaffa', 'Jerusalem', 'Anatolia', 'Turks']",1ST TURKO-EGYPTIAN WAR,EGYPT,TURKEY,LAND,NO,"[""['Egyptian'"", ""'War                                          '"", ""'Egyptian'"", ""'Turkish'"", ""'Syria'"", ""'Gaza'"", ""'Jaffa'"", ""'Jerusalem'"", ""'Anatolia'"", ""'Turks']"", 'EGYPT', 'TURKEY']",None,None
Acre1840,ISRAEL,32.933052,35.082678,7,ACRE,1840.0,"['Turko', 'Egyptian', 'Turkey', 'Nezib', 'Syria', 'Turkish', 'European', 'Beirut', 'British', 'Turkish']",2ND TURKO-EGYPTIAN WAR,"UNITED KINGDOM, AUSTRIA",EGYPT,LAND AND SEA,NO,"[""['Turko'"", ""'Egyptian'"", ""'Turkey'"", ""'Nezib'"", ""'Syria'"", ""'Turkish'"", ""'European'"", ""'Beirut'"", ""'British'"", ""'Turkish']"", 'UNITED KINGDOM', 'AUSTRIA', 'EGYPT']",united kingdom,None
Acropolis1821,GREECE,37.9715323,23.7257492,7,ACROPOLIS,1821.0,[],GREEK WAR OF INDEPENDENCE,GREEK REBELS,GREEK MUSLIMS,LAND,YES,"['[]', 'GREEK REBELS', 'GREEK MUSLIMS']",None,None
Acropolis1826-1827,GREECE,37.9715323,23.7257492,7,ACROPOLIS,1826.0,"['Athens', 'Acropolis', 'Yannis', 'British', 'Acropolis', 'Chaidari', 'Turkey', 'Greece']",['GREEK WAR'],OTTOMAN EMPIRE,GREEK REBELS,LAND,BATTLE FOLLOWED BY MASSACRE,"[""['Athens'"", ""'Acropolis'"", ""'Yannis'"", ""'British'"", ""'Acropolis'"", ""'Chaidari'"", ""'Turkey'"", ""'Greece']"", 'OTTOMAN EMPIRE', 'GREEK REBELS']",None,None
Acs1849,HUNGARY,47.7112968,18.0103464,7,ACS,1849.0,"['Hungarian', 'Austria', 'Hungary', 'Russia', 'Hungarian', 'Komarom', 'Budapest', 'Temesvar']",HUNGARIAN REVOLUTIONARY WAR,DRAW,,LAND,NO,"[""['Hungarian'"", ""'Austria'"", ""'Hungary'"", ""'Russia'"", ""'Hungarian'"", ""'Komarom'"", ""'Budapest'"", ""'Temesvar']"", 'DRAW', '']",None,None
Actium-31,GREECE,38.9176738,20.797808,7,ACTIUM,-31.0,"['Roman', 'Octavians', 'Greece', 'Preveza', 'Antonys', 'Egypt']",WARS OF THE SECOND TRIUMVIRATE,OCTAVIANS' FORCES,MARK ANTHONY'S ARMY,SEA,NO,"[""['Roman'"", ""'Octavians'"", ""'Greece'"", ""'Preveza'"", ""'Antonys'"", ""'Egypt']"", ""OCTAVIANS' FORCES"", ""MARK ANTHONY'S ARMY""]",None,None
Aculco1810,MEXICO,20.0985989,-99.8275861,7,ACULCO,1810.0,"['Mexican', 'Mexico City', 'Guadalajara', 'Royalist']",MEXICAN WAR OF INDEPENDENCE,SPAIN,MEXICAN REBELS,LAND,NO,"[""['Mexican'"", ""'Mexico City'"", ""'Guadalajara'"", ""'Royalist']"", 'SPAIN', 'MEXICAN REBELS']",None,None
Acultzingo1862,MEXICO,18.7156563,-97.3077659,8,ACULTZINGO,1862.0,"['Mexican', 'French', 'Mexico', 'Acultzingo', 'Mexican', 'French']",MEXICAN-FRENCH WAR,FRANCE,MEXICAN LIBERALS,LAND,NO,"[""['Mexican'"", ""'French'"", ""'Mexico'"", ""'Acultzingo'"", ""'Mexican'"", ""'French']"", 'FRANCE', 'MEXICAN LIBERALS']",france,None
Ad Decimum533,TUNISIA,36.8592738,10.3137703,9,AD DECIMUM,533.0,"['North Africa', 'Romans']",VANDAL WAR IN AFRICA,BYZANTIUM,VANDAL KINGDOM IN AFRICA,LAND,NO,"[""['North Africa'"", ""'Romans']"", 'BYZANTIUM', 'VANDAL KINGDOM IN AFRICA']",None,None
Ad Salices377,ROMANIA,45.0260948,29.1896499,12,AD SALICES,377.0,"['Roman', 'Trajan', 'Goths', 'Valens']",['GOTHIC WAR'],DRAW,,LAND,NO,"[""['Roman'"", ""'Trajan'"", ""'Goths'"", ""'Valens']"", 'DRAW', '']",None,None
Adairsville1864,UNITED STATES,34.3687021,-84.9341093,8,ADAIRSVILLE,1864.0,"['Georgia', 'Atlanta', 'Chattanooga', 'Calhoun', 'Cassville', 'Dallas']",AMERICAN CIVIL WAR,UNITED STATES,CONFEDERATE STATES OF AMERICA,LAND,NO,"[""['Georgia'"", ""'Atlanta'"", ""'Chattanooga'"", ""'Calhoun'"", ""'Cassville'"", ""'Dallas']"", 'UNITED STATES', 'CONFEDERATE STATES OF AMERICA']",united states,None
Adana964,TURKEY,36.9914194,35.3308285,8,ADANA,964.0,"['Muslim', 'Syria', 'Muslims', 'Asia Minor', 'Cilician', 'Adana', 'Turkey', 'Syria']",LATER BYZANTINE-MUSLIM WARS,BYZANTIUM,HAMDANID DYNASTY,LAND,NO,"[""['Muslim'"", ""'Syria'"", ""'Muslims'"", ""'Asia Minor'"", ""'Cilician'"", ""'Adana'"", ""'Turkey'"", ""'Syria']"", 'BYZANTIUM', 'HAMDANID DYNASTY']",None,None
Adas1775,INDIA,22.4952782,72.9436393,8,ADAS,1775.0,"['Poona', 'Kasegaum']",MARATHA WARS OF SUCCESSION,POONA,PESHWA RAGUNATH RAO,LAND,NO,"[""['Poona'"", ""'Kasegaum']"", 'POONA', 'PESHWA RAGUNATH RAO']",None,None
Adas1775(2nd),INDIA,22.4952782,72.9436393,8,ADAS,1775.0,"['British', 'Napar']",1ST BRITISH MARATHA WAR,UNITED KINGDOM,MARATHAS,LAND,NO,"[""['British'"", ""'Napar']"", 'UNITED KINGDOM', 'MARATHAS']",united kingdom,None
Adasa-161,ISRAEL,31.877519,35.1230051,8,ADASA,-161.0,"['Jerusalem', 'Hebrew']",['MACCABEAN WAR        '],HEBREWS,SELEUCID EMPIRE,LAND,NO,"[""['Jerusalem'"", ""'Hebrew']"", 'HEBREWS', 'SELEUCID EMPIRE']",None,None
Adda-223,ITALY,45.8012456,9.3249373,8,ADDA,-223.0,"['Italy', 'Italy', 'Roman']",GALLIC WARS IN ITALY,ROME,INSUBRIAN GAULS,LAND,NO,"[""['Italy'"", ""'Italy'"", ""'Roman']"", 'ROME', 'INSUBRIAN GAULS']",None,None
Adda490,ITALY,45.8012456,9.3249373,8,ADDA,490.0,"['German', 'Italy', 'Sontius', 'Verona', 'Ravenna']",GOTH INVASION OF ITALY,OSTROGOTHS,GERMAN KINGDOM OF ITALY,LAND,NO,"[""['German'"", ""'Italy'"", ""'Sontius'"", ""'Verona'"", ""'Ravenna']"", 'OSTROGOTHS', 'GERMAN KINGDOM OF ITALY']",None,None
Addis Ababa1936,ETHIOPIA,8.9806034,38.7577605,9,ADDIS ABABA,1936.0,"['Ogaden', 'Italian', 'Addis Ababa']",2ND ITALO-ETHIOPIAN WAR,ITALY,ETHIOPIA,LAND,BATTLE FOLLOWED BY MASSACRE,"[""['Ogaden'"", ""'Italian'"", ""'Addis Ababa']"", 'ITALY', 'ETHIOPIA']",None,None
Addis Ababa1941,ETHIOPIA,8.9806034,38.7577605,9,ADDIS ABABA,1941.0,"['Addis Ababa', 'Northern Africa', 'British', 'Ethiopia', 'Kenya', 'Italian', 'Addis Ababa', 'Italians', 'Addis Ababa']",['WORLD WAR II'],UNITED KINGDOM,ITALY,LAND,NO,"[""['Addis Ababa'"", ""'Northern Africa'"", ""'British'"", ""'Ethiopia'"", ""'Kenya'"", ""'Italian'"", ""'Addis Ababa'"", ""'Italians'"", ""'Addis Ababa']"", 'UNITED KINGDOM', 'ITALY']",united kingdom,None
