ID,Country,Latitude,Longitude,Page,Battle,Year,Participants,War,Winner,Loser,Theatre,Massacre,all_participants,nuclear_countries_involved,active_nuclear_countries_during_conflict
Algiers1541,ALGERIA,36.7392115,2.9992459,32,ALGIERS,1541.0,"['Turkish', 'Tunis', 'Algiers', 'Algerian', 'Turks', 'Arab']",TURKISH HABSBURG WARS,"OTTOMAN EMPIRE, ARABS",HABSBURG EMPIRE,LAND AND SEA,NO,"[""['Turkish'"", ""'Tunis'"", ""'Algiers'"", ""'Algerian'"", ""'Turks'"", ""'Arab']"", 'OTTOMAN EMPIRE', 'ARABS', 'HABSBURG EMPIRE']",None,None
Algiers1620-1621,ALGERIA,36.7392115,2.9992459,32,ALGIERS,1620.0,"['Muslim', 'British', 'Algiers', 'British', 'England']",CORSAIR WARS,CORSAIRS OF ALGIERS,ENGLAND,LAND AND SEA,NO,"[""['Muslim'"", ""'British'"", ""'Algiers'"", ""'British'"", ""'England']"", 'CORSAIRS OF ALGIERS', 'ENGLAND']",united kingdom,None
Algiers1682-1683,ALGERIA,36.7392115,2.9992459,32,ALGIERS,1682.0,"['France', 'Algiers', 'North', 'African', 'Dey Husayn']",FRANCO-BARBARY WARS,FRANCE,CORSAIRS OF ALGIERS,LAND AND SEA,NO,"[""['France'"", ""'Algiers'"", ""'North'"", ""'African'"", ""'Dey Husayn']"", 'FRANCE', 'CORSAIRS OF ALGIERS']",france,None
Algiers1688,ALGERIA,36.7392115,2.9992459,32,ALGIERS,1688.0,"['Algeria', 'France', 'Algiers']",FRANCO-BARBARY WARS,ALGIERS,FRANCE,LAND AND SEA,NO,"[""['Algeria'"", ""'France'"", ""'Algiers']"", 'ALGIERS', 'FRANCE']",france,None
Algiers1775,ALGERIA,36.7389364,2.9992461,33,ALGIERS,1775.0,"['Spanish-Algerian', 'Spain', 'Algiers', 'Irish', 'Spanish', 'French', 'Louisiana']",SPANISH-ALGERIAN WARS,ALGIERS,SPAIN,LAND AND SEA,NO,"[""['Spanish-Algerian'"", ""'Spain'"", ""'Algiers'"", ""'Irish'"", ""'Spanish'"", ""'French'"", ""'Louisiana']"", 'ALGIERS', 'SPAIN']",None,None
Algiers1783,ALGERIA,36.7389364,2.9992461,33,ALGIERS,1783.0,"['Spanish-Algerian', 'North African', 'Algerian', 'Spain', 'Algiers', 'Spanish', 'Algerians']",SPANISH-ALGERIAN WARS,ALGIERS,SPAIN,LAND AND SEA,NO,"[""['Spanish-Algerian'"", ""'North African'"", ""'Algerian'"", ""'Spain'"", ""'Algiers'"", ""'Spanish'"", ""'Algerians']"", 'ALGIERS', 'SPAIN']",None,None
Algiers1816,ALGERIA,36.7389364,2.9992461,33,ALGIERS,1816.0,"['North African', 'Dutch', 'Algiers', 'Spanish', 'Italian']",CORSAIR WARS,"UNITED KINGDOM, NETHERLANDS",ALGIERS,LAND AND SEA,NO,"[""['North African'"", ""'Dutch'"", ""'Algiers'"", ""'Spanish'"", ""'Italian']"", 'UNITED KINGDOM', 'NETHERLANDS', 'ALGIERS']",united kingdom,None
Algiers1824,ALGERIA,36.7389364,2.9992461,33,ALGIERS,1824.0,"['British', 'Barbary pirates', 'Algiers', 'Tripoli', 'Algerine']",CORSAIR WARS,UNITED KINGDOM,ALGIERS,LAND AND SEA,NO,"[""['British'"", ""'Barbary pirates'"", ""'Algiers'"", ""'Tripoli'"", ""'Algerine']"", 'UNITED KINGDOM', 'ALGIERS']",united kingdom,None
Algiers1830,ALGERIA,36.7389364,2.9992461,33,ALGIERS,1830.0,"['French', 'Algeria', 'Algiers', 'France', 'Mascara', 'French']",FRENCH CONQUEST OF ALGERIA,FRANCE,ALGIERS,LAND,NO,"[""['French'"", ""'Algeria'"", ""'Algiers'"", ""'France'"", ""'Mascara'"", ""'French']"", 'FRANCE', 'ALGIERS']",france,None
Algiers1942,ALGERIA,36.7389364,2.9992461,33,ALGIERS,1942.0,"['Northern Africa', 'French', 'Anglo-American', 'Eastern', 'Algiers', 'US', 'Britains', 'Bougie', 'Tunisia']",['WORLD WAR II'],"UNITED KINGDOM, UNITED STATES",VICHY FRANCE,LAND,NO,"[""['Northern Africa'"", ""'French'"", ""'Anglo-American'"", ""'Eastern'"", ""'Algiers'"", ""'US'"", ""'Britains'"", ""'Bougie'"", ""'Tunisia']"", 'UNITED KINGDOM', 'UNITED STATES', 'VICHY FRANCE']","united states, united kingdom",None
Algiers1956-1957,ALGERIA,36.7389364,2.9992461,33,ALGIERS,1956.0,"['Algiers', 'Yacef']",['ALGERIAN WAR'],FRANCE,FLN,LAND,NO,"[""['Algiers'"", ""'Yacef']"", 'FRANCE', 'FLN']",france,None
Alhama1482,SPAIN,37.004066,-3.9891183,33,ALHAMA,1482.0,"['Spain', 'Muslim']",FINAL CHRISTIAN RECONQUEST OF SPAIN,CADIZ,GRANADA,LAND,NO,"[""['Spain'"", ""'Muslim']"", 'CADIZ', 'GRANADA']",None,None
Alhucemas1925,MOROCCO,35.2445589,-3.9317468,34,ALHUCEMAS,1925.0,"['Morocco', 'Spanish', 'Melilla', 'Rif', 'Ajdir', 'French']",SPANISH RIF WAR,SPAIN,RIF REBELS,LAND AND SEA,NO,"[""['Morocco'"", ""'Spanish'"", ""'Melilla'"", ""'Rif'"", ""'Ajdir'"", ""'French']"", 'SPAIN', 'RIF REBELS']",None,None
Ali Kheyl1984,AFGHANISTAN,33.9418913,69.6879744,34,ALI KHEYL,1984.0,"['Afghan', 'Mujahaden', 'Kabul', 'Afghan', 'Soviet', 'Soviet', 'Kabul', 'Paktia Province']",AFGHAN CIVIL WAR,"USSR, AFGHANISTAN",MUJAHIDEEN,LAND,NO,"[""['Afghan'"", ""'Mujahaden'"", ""'Kabul'"", ""'Afghan'"", ""'Soviet'"", ""'Soviet'"", ""'Kabul'"", ""'Paktia Province']"", 'USSR', 'AFGHANISTAN', 'MUJAHIDEEN']",russia,russia
Ali Masjid1839,PAKISTAN,34.0332698,71.254813,35,ALI MASJID,1839.0,"['Russian', 'Kandahar', 'Ghazni', 'Shujas', 'Kabul']",['AFGHAN WAR                                            '],"UNITED KINGDOM, SHAH SHUJA",AFGHANISTAN,LAND,NO,"[""['Russian'"", ""'Kandahar'"", ""'Ghazni'"", ""'Shujas'"", ""'Kabul']"", 'UNITED KINGDOM', 'SHAH SHUJA', 'AFGHANISTAN']",united kingdom,None
